accuracy,f1_macro,precision_macro,recall_macro,dataset_name,estimator_name,repetition,split
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,test1,0.8981481481481481,0.6826075340635854,0.6744897959183673,0.6919191919191919
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,train,0.9135802469135802,0.7503027634041616,0.7310344827586207,0.7748552123552124
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,test0,0.9259259259259259,0.73,0.7609618104667609,0.7070707070707071
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,test1,0.8796296296296297,0.6248998129842372,0.6193877551020408,0.6313131313131313
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,train,0.9135802469135802,0.5882352941176471,0.7120253164556962,0.5646718146718147
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,test1,0.8888888888888888,0.4705882352941177,0.45714285714285713,0.48484848484848486
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,train,0.9166666666666666,0.5426360642024364,0.7928348909657321,0.5340250965250966
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e6_SVC,r0,train,0.9845679012345679,0.9467927874667454,0.9916943521594684,0.9107142857142857
d3_climate-model-simulation-crashes,e6_SVC,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e6_SVC,r0,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e6_SVC,r1,train,0.9814814814814815,0.9349832775919732,0.990066225165563,0.8928571428571428
d3_climate-model-simulation-crashes,e6_SVC,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e6_SVC,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,test0,0.8611111111111112,0.5211350872007094,0.5225,0.5202020202020202
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0,test1,0.8981481481481481,0.4731707317073171,0.45754716981132076,0.4898989898989899
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,train,1.0,1.0,1.0,1.0
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,test0,0.9166666666666666,0.7126810523204257,0.725,0.702020202020202
d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1,test1,0.8796296296296297,0.46798029556650245,0.4567307692307692,0.4797979797979798
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,train,0.9135802469135802,0.4774193548387096,0.4567901234567901,0.5
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e8_MLPClassifier,r0,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,train,0.9104938271604939,0.4765751211631664,0.456656346749226,0.4983108108108108
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e8_MLPClassifier,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r0,train,0.9135802469135802,0.4774193548387096,0.4567901234567901,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r0,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r0,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r1,train,0.9135802469135802,0.4774193548387096,0.4567901234567901,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r1,test0,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d3_climate-model-simulation-crashes,e9_Perceptron,r1,test1,0.9166666666666666,0.4782608695652174,0.4583333333333333,0.5
d4_diabetes,e0_ExtraTreesClassifier,r0,train,1.0,1.0,1.0,1.0
d4_diabetes,e0_ExtraTreesClassifier,r0,test0,0.7272727272727273,0.6784649035593557,0.6976041441830347,0.6710255931253503
d4_diabetes,e0_ExtraTreesClassifier,r0,test1,0.7597402597402597,0.735063002743293,0.7361292733046889,0.7340740740740741
d4_diabetes,e0_ExtraTreesClassifier,r1,train,1.0,1.0,1.0,1.0
d4_diabetes,e0_ExtraTreesClassifier,r1,test0,0.7272727272727273,0.6821933962264152,0.7008928571428572,0.675
d4_diabetes,e0_ExtraTreesClassifier,r1,test1,0.7597402597402597,0.7274597024919883,0.7342767295597484,0.722678871660751
