@RELATION evaluation_times

@ATTRIBUTE train_size REAL
@ATTRIBUTE fit_time INTEGER
@ATTRIBUTE score_time INTEGER
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,'0 days 00:00:00.003843','0 days 00:00:00.000226',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,train
0.6,'0 days 00:00:00.003843','0 days 00:00:00.000232',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test0
0.6,'0 days 00:00:00.003843','0 days 00:00:00.000295',d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test1
0.6,'0 days 00:00:00.166294','0 days 00:00:00.010143',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,train
0.6,'0 days 00:00:00.166294','0 days 00:00:00.007377',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test0
0.6,'0 days 00:00:00.166294','0 days 00:00:00.006967',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test1
0.6,'0 days 00:00:00.170961','0 days 00:00:00.010465',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,train
0.6,'0 days 00:00:00.170961','0 days 00:00:00.008416',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test0
0.6,'0 days 00:00:00.170961','0 days 00:00:00.008452',d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test1
0.6,'0 days 00:00:00.001681','0 days 00:00:00.000524',d3_climate-model-simulation-crashes,e4_GaussianNB,r0,train
